,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
1348,Giant Minecraft Server For a Massive Graduation,LuisCarlos Larios,En curso,Baja California,Grad ceremony in minecraft,grad ceremony minecraft,['minecraft'],118,12000,2,Juegos
1349,"Cubi, !Que 9 millones tengan la casa de sus sueños¡",EON,Fallido,Baja California,El país depende del bien estar de nuestra familia y depende de darle un lugar donde vivir y soñar a 9 millones de personas pobres.,país depende bien familia depende darle lugar vivir soñar millones personas pobres,"['depende', 'millones personas']",118,1500000,2,Diseño
1350,Prótesis de nuestra memoria,Lucas Torres,Fallido,Distrito Federal,Investigación y desarrollo para serie de obras de arte basadas estéticamente en las ruinas como representación del tiempo y la memoria.,investigación desarrollo serie obras arte basadas estéticamente ruinas representación tiempo memoria,"['desarrollo', 'representacion tiempo']",118,100000,2,Arte
1351,Vita: La Unión de Vida y Muerte.,Arturo Aranjo,Fallido,Baja California,"Vita, es una historia de ciencia ficción, con base en historias sobre criaturas malignas ( demonios) y divinas.",vita historia ciencia ficción base historias criaturas malignas demonios divinas,"['historia', 'historias', 'malignas demonios']",118,10000,2,Cómic
1352,"STRATEXCAP, EJECUCIÓN DE LA ESTRATEGIA (Canceled)",Javier Mateos Escamilla,Cancelado,Jalisco,"Innovate a method to execute the business strategy through capabilities and resources, help Business improve their results and survive",innovate method execute business strategy capabilities resources help business improve results survive,"['business', 'results', 'method']",118,625000,2,Editorial
1353,"HAZME EL MILAGRITO, PIROPOS Y REFRANES",MARIA GUADALUPE CEVALLOS ALMADA,Fallido,Distrito Federal,"Un libro para"" hacer el amor con palabras"", con piropos y refranes, y muchas fotografías.\r
Book to reflect on ""making love with words"".",libro hacer amor palabras piropos refranes muchas fotografíasr book reflect making love words,"['love', 'hacer amor']",118,580000,2,Editorial
1354,SERIE DE ACCION DE SUPERHEROES,James Morales Castillo,Fallido,Yucatan,esta es una serie de accion a largo plazo que es dirigido a un publico tanto como infantil como familiar y general,serie accion largo plazo dirigido publico infantil familiar general,"['familiar', 'accion largo']",118,200000,2,Cine y video
1355,Demo de covers y canciones pop inéditas.,Josmar Canché,Fallido,Veracruz-Llave,Cumplir un gran sueño al crear un Demo en el cual pueda transmitir emociones y llegar al corazón de muchas personas.,cumplir gran sueño crear demo pueda transmitir emociones llegar corazón muchas personas,"['gran', 'muchas', 'sueno']",118,35000,2,Música
1356,EL COLOR DE LA FE,Diego Rodarte,Fallido,Distrito Federal,EL COLOR DE LA FE es una revista mensual dedicada a las costumbres y tradiciones de México y latinoamérica.,color fe revista mensual dedicada costumbres tradiciones méxico latinoamérica,"['mexico', 'mensual', 'tradiciones']",118,30000,2,Editorial
1357,CRIMINAL COUPLE,Amaury Campos (deleted),Fallido,Distrito Federal,A couple who love what is foreign is dedicated to perpetuating great thefts in a discreet way. Everything flows well until they fall.,couple love foreign dedicated perpetuating great thefts discreet way everything flows well fall,"['discreet', 'love foreign']",117,300000,2,Cine y video
1358,Oscar Treviño! Grabemos Un Disco!,Oscar Treviño,Fallido,Coahuila de Zaragoza,Soy Oscar Y estoy en busca de la financiación para el lanzamiento mundial de mi álbum en plataformas digitales!,oscar busca financiación lanzamiento mundial álbum plataformas digitales,"['plataformas', 'busca', 'financiacion']",110,10000,2,Música
1359,"café, arte y cultura, café literario, aquí se sirve cultura",JONATAN ALMEIDA JUAREZ,Fallido,Puebla,"MI proyecto consiste en construir un café literario, en donde la juventud se llene de cultura. en México necesitamos más espacios así.",proyecto consiste construir café literario juventud llene cultura méxico necesitamos espacios así,"['consiste', 'necesitamos espacios']",110,200000,2,Arte
1360,UTO Zhombis,José Alfredo Ramírez Muñoz,Fallido,Hidalgo,"UTO Zhombis is a beautiful action-hack n' slash-Hooker indie game inspired by Metal Slug, Attack on Titan, Rareware's games.",uto zhombis beautiful actionhack n slashhooker indie game inspired metal slug attack titan rarewares games,"['game', 'games', 'zhombis beautiful']",100,70000,2,Juegos
1361,Revista Dinero y Salud Financiera,Mario Alejandro Castro Ayora,Fallido,Yucatan,Primera revista mexicana enfocada en el crecimiento financiero de nuestros lectores. Contribuimos a forjar una mejor salud financiera,primera revista mexicana enfocada crecimiento financiero lectores contribuimos forjar mejor salud financiera,"['salud', 'revista mexicana']",100,89990,2,Editorial
1362,Virtual-YouTuber Mischa,Mischa,En curso,Zacatecas,A virtual-YouTuber show meant to spread happiness,virtualyoutuber show meant spread happiness,['happiness'],88,200000,2,Cine y video
1363,Fili pregunta,Liliana García,Fallido,Distrito Federal,Serie animada de filosofía con niños,serie animada filosofía niños,"['filosofia', 'serie animada']",68,60000,2,Cine y video
1364,Viajando y Tatuando,HydraHex,Fallido,Puebla,Tatuajes. Estamos preparando una gira de trabajo de un mes en 3 localidades (y a donde nos quieran llevar) para compartir nuestro arte.,tatuajes preparando gira trabajo mes localidades quieran llevar compartir arte,"['preparando', 'llevar compartir']",68,60000,2,Arte
1365,Children's Choir Music Production Company Non-Profit,Joaquin Matus,Fallido,Yucatan,"Create a non-profit company to teach music to children from orphanges and children's homes in Mexico, and also to produce music.",create nonprofit company teach music children orphanges childrens homes mexico also produce music,"['childrens', 'music children', 'nonprofit']",68,300000,2,Música
