,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
896,"NEHUEN, EL NIÑO Y EL MAR",EmiDesouches,Argentina,"Corto de ficción que, desde el realismo mágico, nos cuenta la búsqueda e inocencia de un niño ante una dura realidad que se le presenta.",9902,75,1900,24,Cine y video
897,ULTIMO PISO - CORTOMETRAJE,alejandromarcast,Argentina,"Cortometraje independiente sobre la política, la inseguridad, la diversidad ideológica y algo trascendente: la gente en situación de calle",1242,75,6800,84,Cine y video
898,PABLO MORO TANGO ÁLBUM FÍSICO,Pablo Moro,Argentina,"luego de grabar,mezclar y masterizar mi álbum de guitarra solista de tango, necesito editar el disco físico y realizar un show presentación.",13481,75,1500,41,Música
899,¡WACHÚN SE VA A ARGENTINA!,Wachún,Chile,¡Amig@s de Wachún! Necesitamos de tu ayuda para crecer y poder viajar a Argentina y participar en el 13º Encuentro de la Canción Infantil,38725,75,4000,48,Música
900,DISCO UMBRAL DÚO DE GUITARRAS.,sebastian segarra,Uruguay,Ya esta recién terminado nuestro disco UMBRAL dúo de GUITARRAS Ayúdanos para poder Editarlo... GRACIASSS!!!,14113,75,6600,9,Música
901,"LAS DIVAS, ¡JUEGO DE CARTAS!",medinagouguet,Argentina,¡El primer juego de mesa argentino basado en el maravilloso y sorprendente mundo de las Drag Queens!,12343,75,5600,47,Juegos
902,LAS GUARDIANAS,Pablo D'Elía,Argentina,"Las Guardianas, Comedia negra de Hernán Costa con dirección de Pablo D’Elía. Actúan: Maiamar Abrodos, Emiliano Figueredo y Jorgelina Vera.",2451,75,3900,35,Artes escénicas
903,2DO DISCO DE PANCHO DOMÍNGUEZ,Francisco Dominguez,Chile,Hola!! te invitamos a apoyarnos en este segundo disco que saldrá en Marzo del 2015.,38554,74,4500,63,Cine y video
904,ENCUENTRO DE DIRECTORAS,Escena Propia,Argentina,Encuentro de directoras escénicas que se reúnen a repensar sus prácticas desde una perspectiva de género y político territorial.,18301,74,6900,139,Artes escénicas
905,LA LEY PRIMERA,La Ley Primera,Argentina,"Somos un grupo de estudiantes de Diseño de Imagen y Sonido (FADU - UBA) La Ley Primera, es nuestra tesis final de la carrera",5301,74,6700,266,Cine y video
906,DISCO PROVINCIANO NAHUEL JOFRÉ,Santiago Nahuel,Argentina,"Editar un nuevo disco de mis canciones: ""Provinciano"". Masterizar, diseñar, editar mil réplicas fisicas y distribuirlo en las plataformas.",19379,74,3200,79,Música
907,13 · RODOLFO MEDEROS ORQUESTA,Rodolfo Mederos,Argentina,"La Orquesta Típica cumple 13 años y está lista para grabar su tercer cd. Es un proyecto costoso, por eso necesitamos tu ayuda",70621,74,20200,135,Música
908,BÁRBARA GILLES / NUEVO DISCO,Bar Gilles,Argentina,Estoy en plena grabación de mi segundo disco de estudio. ¡Con tu ayuda voy a poder terminarlo!,12092,74,2500,70,Música
909,LA PUTA TRISTE EN VALPARAÍSO,Mila Corona Lorca,Chile,"Un montaje que pretendemos presentar en el mes de Julio por los bares de Valparaíso, para acercar el teatro a la gente.",4233,74,2800,14,Artes escénicas
910,HECHOS CONSUMADOS.,Hechos Consumados,Argentina,H.C. se proyecta como una serie web policial escrita y dirigida por Carolina De Luca y protagonizada por Lucrecia Gelardi.,7190,73,11100,1225,Cine y video
911,LAS VOCES DEL RÍO,Martín Paglione,Argentina,Creemos en el teatro como una herramienta para la transformación social y necesitamos de tu colaboración para llevar a cabo nuestro proyecto,4832,73,7900,29,Artes escénicas
912,TORTUGAS EN BRAILE PARA NIÑOS,Dianna del Pilar,Colombia,Diseño y edición de un cuento corto sobre las tortugas Laud para niños con discapacidad visual o baja visíón.,4862,73,15100,7,Editorial
913,AGUA EN LA CABEZA,Club Hem,Argentina,"A un año del 2 de abril en La Plata queremos publicar un libro que reúne relatos, crónicas, poemas e ilustraciones sobre la inundación.",3856,73,8800,60,Editorial
914,"LDN NUEVO ""EP""",LOCOS DE NACIMIENTO,Argentina,QUEREMOS QUE SEAS PARTE DEL NUEVO MATERIAL DISCOGRÁFICO! NUESTRO 7MO MATERIAL,14494,73,1800,43,Música
915,"""BAHIA"", DISCO DE LA ALEGRÍA",Maria Constanza,Argentina,"Necesito de tu ayuda para editar mi primer disco autoral de estudio en portugués y castellano:""Bahia"", y así podamos disfrutarlo!! Alegria!",5010,73,5000,105,Música
916,DESAHOGO,Tamarindo,Argentina,Somos un grupo de estudiantes de Diseño de Imagen y Sonido (FADU - UBA) realizando el corto final de segundo año.,2356,72,9300,305,Cine y video
917,ROMPECABEZAS,Cortado a Cuchillo,Argentina,Somos estudiantes de imagen y sonido (UBA) y nos es imprescindible tu ayuda para poder financiar nuestro proyecto final de segundo año!,2837,72,7500,655,Cine y video
918,RARA AVIS: LIBRO ÁLBUM,María Aranguren,Argentina,"Un libro con aires de enciclopedia, pizca de poesía, intimidades de diario e ilustraciones en tinta china. ¡Ayudanos a publicarlo!",28252,72,7000,160,Editorial
