,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
1028,OCTUBRE,Cortometraje Octubre,Argentina,"Un taller mecánico, una mujer, una niña. Un encuentro entre dos historias de opresión. Una historia sobre la libertad.",taller mecánico mujer niña encuentro historias opresión historia libertad, historias   historia   mecanico mujer ,4729,57,5700,252,Cine y video
1029,"""FUERA DE CASA"" - NUEVO DISCO!",Julian Hernandez,Argentina,Ayudenme a imprimir mi nuevo album!,ayudenme imprimir nuevo album, ayudenme imprimir nuevo ,1301,56,6300,81,Música
1030,IN CRESCENDO CUARTETO,increscendocuarteto,Argentina,El cuarteto IN CRESCENDO ha sido convocado a una gira de conciertos en España durante Septiembre/Octubre 2013 y necesita de tu apoyo!,cuarteto crescendo sido convocado gira conciertos españa septiembreoctubre necesita apoyo, crescendo   septiembreoctubre necesita ,3693,56,8100,35,Música
1031,"ÁLBUM SOLISTA ""DIGITAL CITY"".",KokeBenavides,Chile,"Recaudación de fondos para la realización de copias, arte y masterización de mi primer álbum solista de 8 tracks.",recaudación fondos realización copias arte masterización primer álbum solista tracks, fondos   solista   realizacion ,21908,56,6900,39,Música
1032,LILI ROSSI - CANCIONES PROPIAS,Lili Rossi,Argentina,"Después de tantos años como intérprete, me econtré con la composición en este puñado de canciones que ahora, con tu ayuda, quisiera grabar.",después tantos años intérprete econtré composición puñado canciones ahora ayuda quisiera grabar, tantos   quisiera   anos ,12092,56,1900,36,Música
1033,PUBLICACIÓN LIBRO BUDISTA,Mario Sandoval,Chile,"Publicación del Libro What is Buddhism Qué es Budismo, del Ven.Wangchuk Dorjee Negi, traducido al español en Centro de Meditación Sidharta",publicación libro buddhism budismo venwangchuk dorjee negi traducido español centro meditación sidharta, meditacion   libro buddhism ,19448,56,4900,23,Editorial
1034,2DO DISCO DE MALABARES ROCK,MALABARES ROCK,Argentina,"Con tu ayuda vamos a financiar el lanzamiento de nuestro próximo disco ""Lenguaje Universal"". https://www.youtube.com/watch?v=4j84fP7gZrc",ayuda vamos financiar lanzamiento próximo disco lenguaje universal, lenguaje   vamos financiar ,6490,56,5200,77,Música
1035,"FILL KOLOR ""LUMEN"" 5.1",Fill Kolor,Argentina,"FILL KOLOR va a grabar un disco con la novedosa técnica 5.1 sonido envolvente para presentar en el ciclo ""Astral Musica a Ciegas""",fill kolor va grabar disco novedosa técnica sonido envolvente presentar ciclo astral musica ciegas, disco   astral musica ,7386,56,11300,38,Música
1036,7MO PRISMA QUIERE SU VIDEOCLIP,7mo Prisma,Argentina,"Amigxs, buscamos lograr el primer videoclip de la banda para acompañar el lanzamiento del nuevo single ""De Mi"".",amigxs buscamos lograr primer videoclip banda acompañar lanzamiento nuevo single, buscamos   lanzamiento nuevo ,11111,56,1400,57,Música
1037,NOCHES EN VELA,Sr.Jose,Argentina,Cortometraje de Tesis para la carrera de Dirección de Cine en el Centro de Investigación y Experimentación en Video y Cine (CIEVYC).,cortometraje tesis carrera dirección cine centro investigación experimentación video cine cievyc, cine   tesis carrera ,3333,56,4900,16,Artes visuales
1038,CORTOMETRAJE REVÉS,teresa martino,Argentina,Un adolescente que sufre bullyng en la escuela y una fuerte opresión dentro de su familia descubre que un compañero está enamorado de él.,adolescente sufre bullyng escuela fuerte opresión dentro familia descubre compañero enamorado, companero   sufre bullyng ,1846,56,13000,12,Cine y video
1039,AYUDA A KENNEK CON SU DISCO!,Mike Murdocca,Argentina,"Contando los minutos para entrar al estudio, es el momento exacto de ayudar para a KENNEK y tener el disco en tus manos!",contando minutos entrar estudio momento exacto ayudar kennek tener disco manos, disco   minutos entrar ,3642,55,5200,498,Música
1040,AUTUMN MOONLIGHT: PASSENGERS,autumnmoonlight,Argentina,"Somos un banda de Post-Rock Progresivo, de Buenos Aires, Argentina. Finalizamos la grabación nuestro 3er Disco! Y necesitamos tu ayuda!",banda postrock progresivo buenos aires argentina finalizamos grabación 3er disco necesitamos ayuda, necesitamos   postrock   finalizamos ,3636,55,4500,26,Música
1041,LAS VÍAS DE LA HERIDA,Leandro Gil,Argentina,"Amor, soledad, muerte, vida, amistad y resiliencia. Una historia real y etérea, nacida en el salto de cabeza a las vías de la herida.",amor soledad muerte vida amistad resiliencia historia real etérea nacida salto cabeza vías herida, vias   soledad   cabeza ,9085,55,12200,84,Editorial
1042,KAHAGAK (CAMINO),Kahagak documental,Argentina,Kahagak es un largometraje documental independiente sobre la lucha de los pueblos originarios por sus derechos sobre la tierra que habitan.,kahagak largometraje documental independiente lucha pueblos originarios derechos tierra habitan, tierra   largometraje documental ,5487,55,10800,64,Cine y video
1043,PROYECTO YELLE CORTOMETRAJE,mbelenbanega,Argentina,"Dos hermanas, un padre y una relación atravesada por lo más salvaje de la naturaleza.",hermanas padre relación atravesada salvaje naturaleza, padre   salvaje   relacion ,2884,55,9800,37,Cine y video
1044,TROVUNTIVITIS 20 AÑOS,Documental Trovuntivitis,Argentina,La Trovuntivitis cumple 20 años. Este documental te cuenta cómo es la trova cubana del siglo XXI.,trovuntivitis cumple años documental cuenta cómo trova cubana siglo xxi, cumple   siglo   anos ,16422,55,10200,85,Cine y video
1045,LO QUE NOS QUEMA,MagnoliaCine,Argentina,"""Los que nos quema"" es un cortometraje en desarrollo producido por Magnolia Cine, conformado por estudiantes de Diseño de Imagen y Sonido.",quema cortometraje desarrollo producido magnolia cine conformado estudiantes diseño imagen sonido, imagen   cortometraje desarrollo ,3627,55,14800,18,Cine y video
